uuid	hierarchy_id	node_id
4adde00c-b7f0-4942-9b81-46549cadd692	syllabus	A4.3.9
a5873b6d-6939-42b1-907b-b044bf3f67d7	syllabus	A4.4.1
825185bf-ee8d-42b2-b5b7-da304a9293cf	syllabus	A4.4.2
5305fe1d-fa30-44cb-b299-fd4dc4342dbc	syllabus	B1.1.1
e6ead52f-7e30-4f8b-8dab-7eb240d2c57c	syllabus	B1.1.2
666bb656-cab7-46b0-a118-9e9295224be0	syllabus	B1.1.3
f13b4ca3-c6e2-43a4-8c3a-0a6be7437e61	syllabus	B1.1.4
48e4ad5e-b374-47f5-817d-1352ea1d016d	syllabus	B2.1.1
b68d0ffb-c494-4feb-b47e-c4726ddd6b96	syllabus	B2.1.2
1a886b5e-d6e6-4b34-9871-55731f558ade	syllabus	B2.1.3
0ca28b1c-326a-4bc7-990b-8e8640cb5e0f	syllabus	B2.1.4
f907f22b-efab-44f1-91c9-10f0bcdc532b	syllabus	B2.2.1
ad2f0129-2e92-48c5-b936-b16982419cfe	syllabus	B2.2.2
66d6e483-ea7d-4adc-8b74-48d3403ecdcb	syllabus	B2.2.3
489337f1-e898-4a05-9fd4-0136c18cb70f	syllabus	B2.2.4
17f29286-82a7-42ca-8a43-331b68db1d4b	syllabus	B2.3.1
7137f7f2-2413-415a-8fff-23f13a4a2906	syllabus	B2.3.2
e39634dc-3372-4b58-b0fb-2a32ab1fb485	syllabus	B2.3.3
6487d29b-c8b3-40dc-a98c-1f0cd209990b	syllabus	B2.3.4
842dc386-fa69-42bf-9f44-a0752036dfa5	syllabus	B2.4.1
0b4ccd1c-067d-4548-893a-6bf01b00c791	syllabus	B2.4.2
a1b01df0-a60f-449f-9668-46701b6b4a21	syllabus	B2.4.3
136e5e5e-cdf1-45f0-ba01-0685fd6208b2	syllabus	B2.4.4
0f3e0393-5d4d-4ef2-848e-5b8957f5e8d8	syllabus	B2.4.5
0aa34ee4-eeea-4bc6-8eac-c447ec442bed	syllabus	B2.5.1
5c6f3092-e737-4945-859f-4381bc1d1197	syllabus	B3.1.1
4a28eec8-effd-4c53-974b-5e5db3bfb75b	syllabus	B3.1.2
473555ab-933e-485c-95f9-206cdb079b59	syllabus	B3.1.3
